state,year,epi_week,rainfall_mm,rainfall_lag8_mm,rainfall_lta_mm,rainfall_anomaly_pct
Abia,1987,46,6.6193547,105.704030375,30.770538,32.48303
Abia,1987,47,7.1419353,82.0306434625,22.34387,44.404594
Abia,1987,49,10.574194,68.32499862499999,11.765376,92.89498
Abia,1987,50,2.5225806,49.437096624999995,3.7548387,85.924835
Abia,1987,52,5.709677,39.56854795,4.423871,113.644135
Abia,1987,53,13.103226,25.950806325000002,5.7890325,167.79286
Abia,1988,2,5.9290323,18.995160825,5.5174193,103.91363
Abia,1988,3,9.561291,10.2193548625,10.415699,94.45754
Abia,1988,5,12.058064,7.645161362500001,12.084731,99.8439
Abia,1988,6,7.387097,8.325000025,15.216129,61.27334
Abia,1988,7,6.464516,8.355645237500001,17.004732,52.100227
Abia,1988,9,58.090324,7.8419354875,30.776129,176.34753
Abia,1988,10,40.63226,14.7879034125,36.829464,109.09119
Abia,1988,12,35.664516,19.1532262875,44.33871,82.41909
Abia,1988,13,47.909676,21.9733875375,53.735912,90.08063
Abia,1988,15,54.08387,27.220968,61.00839,89.509636
Abia,1988,16,47.84516,32.786290375,56.888386,85.38785
Abia,1988,17,63.135483,37.259677374999995,82.929245,77.48899
Abia,1988,19,68.064514,44.228225625,82.15914,83.82886
Abia,1988,20,85.787094,51.928225375,94.044945,91.66252
Abia,1988,22,113.341934,55.390321625,109.787094,103.0969
Abia,1988,23,156.85806,64.479030875,104.51398,147.7967
Abia,1988,25,94.40645,79.628223875,104.40537,90.860664
Abia,1988,26,117.716125,85.440320625,132.72343,89.1033
Abia,1988,28,100.341934,93.39435250000001,127.95269,79.232635
Abia,1988,29,123.89032,99.95644924999999,133.24474,93.23344
Abia,1988,31,40.55484,107.550803875,101.247955,42.87597
Abia,1988,32,51.458065,104.112094625,103.59075,51.991592
Abia,1988,33,129.32259,99.820966,123.17506,104.7962
Abia,1988,35,155.43225,101.81854799999999,105.83957,144.74277
Abia,1988,36,123.5871,101.64032175,110.082794,111.73443
Abia,1988,38,156.03226,105.287903,118.14301,130.7685
Abia,1988,39,90.4129,110.077419875,87.55097,103.09228
Abia,1988,41,68.3871,108.836290625,93.42021,74.56507
Abia,1988,42,96.619354,101.898388125,106.78473,90.906296
Abia,1988,44,15.477419,108.90645237499999,40.66301,44.844654
Abia,1988,45,9.8,104.408871625,30.770538,41.374832
Abia,1988,47,14.167742,89.468547875,22.34387,70.09886
Abia,1988,48,23.967741,71.810484375,11.765376,172.78311
Abia,1988,49,12.922581,59.3580645,3.7548387,204.71628
Abia,1988,51,9.683871,41.469354625,4.423871,155.8157
Abia,1988,52,2.6,31.378226,5.7890325,70.44191
Abia,1989,2,1.7225807,23.154838500000004,5.5174193,63.918537
Abia,1989,3,2.8709676,11.2927418375,10.415699,51.058132
Abia,1989,5,3.2967741,9.7169354125,12.084731,48.562508
Abia,1989,6,2.6258066,8.904032175000001,15.216129,37.721397
Abia,1989,8,3.083871,7.46129025,17.004732,36.736965
Abia,1989,9,19.896774,4.8508065,30.776129,69.59046
Abia,1989,10,18.329033,5.722580625,36.829464,55.771774
Abia,1989,12,55.464516,6.803225875000001,44.33871,122.54984
Abia,1989,13,62.612904,13.411290375,53.735912,115.11339
Abia,1989,15,78.4,21.0225807875,61.00839,126.34758
Abia,1989,16,80.05807,30.4637098375,56.888386,137.43785
Abia,1989,18,114.9871,40.058871825000004,82.929245,136.4587
Abia,1989,19,44.548386,54.1040335,82.15914,56.84818
Abia,1989,20,87.23871,59.287097875,94.044945,93.128136
Abia,1989,22,81.2,67.704839875,109.787094,75.09554
Abia,1989,23,74.43871,75.56371075,104.51398,72.53751
Abia,1989,25,143.6387,77.935485,104.40537,135.86052
Abia,1989,26,149.35484,88.06370949999999,132.72343,112.07595
Abia,1989,28,98.993546,96.9330645,127.95269,78.21845
Abia,1989,29,120.980644,99.299999,133.24474,91.128716
Abia,1989,31,111.59355,100.049192,101.247955,109.73722
Abia,1989,32,163.24516,108.4298375,103.59075,154.93507
Abia,1989,34,129.24516,117.93064375,123.17506,104.7358
Abia,1989,35,126.34839,123.93628875,105.83957,118.50315
Abia,1989,37,94.212906,130.42499875,110.082794,86.21002
Abia,1989,38,110.23226,124.2467745,118.14301,93.575966
Abia,1989,39,106.50323,119.35645199999999,87.55097,120.47764
Abia,1989,41,140.42581,120.2951625,93.42021,147.7601
Abia,1989,42,85.064514,122.72580825,106.78473,80.56961
Abia,1989,44,34.27742,119.40967875,40.66301,86.01584
Abia,1989,45,4.2967744,103.28871124999999,30.770538,25.99003
Abia,1989,47,17.819355,87.67016305,22.34387,83.45328
Abia,1989,48,5.529032,74.104033675,11.765376,62.80224
Abia,1989,50,1.7483871,63.018549425,3.7548387,77.0818
Abia,1989,51,3.6064515,49.458065312500004,4.423871,91.32607
Abia,1990,1,11.451612,36.595968,5.7890325,152.4846
Abia,1990,2,4.451613,20.47419325,5.5174193,89.86627
Abia,1990,3,12.6967745,10.397580625,10.415699,114.79709
Abia,1990,5,9.858065,7.6999999375,12.084731,86.96691
Abia,1990,6,9.954839,8.3951612625,15.216129,73.974785
Abia,1990,8,2.387097,7.412096762500001,17.004732,33.57049
Abia,1990,9,6.6064515,7.0193548875000005,30.776129,32.441883
Abia,1990,10,14.883871,7.6266129375,36.829464,47.53556
Abia,1990,12,17.129032,9.036290375,44.33871,44.851257
Abia,1990,13,43.15484,9.745967875,53.735912,81.985344
Abia,1990,15,39.56129,14.58387125,61.00839,67.50852
Abia,1990,16,65.05161,17.9419356875,56.888386,113.19025
Abia,1990,18,102.36129,24.841128812499996,82.929245,122.09964
Abia,1990,19,69.296776,36.391935187499996,82.15914,85.24267
Abia,1990,21,79.51613,44.7556450625,94.044945,85.331085
